class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.time.tz.TestUTCProvider,75,322.3649665544723,21,6,15,15,1,1,15,15,0,1,-0.4,6,0.0,0,0,0.0,6,1,0,1,11
org.joda.time.tz.TestFixedDateTimeZone,111,610.7966717961365,29,5,19,19,1,1,44,43,1,4,-0.1388888888888889,8,0.2,0,0,0.0,10,1,0,1,19
org.joda.time.chrono.TestCopticChronology,597,4058.0406709771955,213,13,189,189,13,6,227,178,49,50,0.1067193675889328,1,0.125,0,0,0.0,24,13,0,12,34
org.joda.time.chrono.TestBuddhistChronology,393,2522.7268398758074,139,11,120,120,13,6,142,113,29,30,0.0784313725490196,1,0.12955465587044535,0,0,0.0,19,13,0,12,27
org.joda.time.chrono.TestIslamicChronology,739,2962.120999188884,250,12,223,223,12,5,297,243,54,55,0.08923076923076922,2,0.12037037037037036,0,0,0.0,27,12,0,11,37
org.joda.time.chrono.TestJulianChronology,320,1942.7788645958865,134,9,116,116,8,4,126,99,27,28,0.08088235294117647,2,0.1597222222222222,0,0,0.0,18,8,0,7,23
org.joda.time.chrono.TestGJChronology,563,3448.986185164766,231,17,195,195,8,4,582,534,48,56,0.03529411764705882,4,0.09027777777777778,0,0,0.0,36,8,0,7,48
org.joda.time.chrono.TestISOChronology,475,3131.2253639869823,191,17,166,166,8,4,278,256,22,25,0.0036231884057971015,3,0.11,0,0,0.0,25,8,0,7,33
org.joda.time.chrono.TestLenientChronology,170,727.2711468760876,57,6,42,42,3,3,104,103,1,2,-0.13186813186813187,7,0.06666666666666667,0,0,0.0,15,3,0,3,24
org.joda.time.chrono.TestGregorianChronology,331,2014.0242630241405,140,11,121,121,8,4,144,117,27,28,0.06535947712418301,2,0.1513157894736842,0,0,0.0,19,8,0,7,24
org.joda.time.chrono.TestEthiopicChronology,597,4058.0406709771955,213,13,189,189,13,6,227,178,49,50,0.1067193675889328,1,0.125,0,0,0.0,24,13,0,12,34
org.joda.time.chrono.gj.TestJulianChronology,165,1395.3893294452791,27,1,12,12,1,1,104,103,1,6,-0.08791208791208792,13,0.13333333333333333,0,0,0.0,15,1,0,1,40
org.joda.time.chrono.gj.TestGJChronology,294,2018.363162915038,79,5,35,35,2,1,936,926,10,40,-0.0033222591362126247,40,0.09090909090909091,0,0,0.0,44,2,0,1,97
org.joda.time.chrono.gj.TestGregorianChronology,137,1320.06682607552,25,0,14,14,0,0,55,55,0,6,-0.08888888888888889,0,0.0,0,0,0.0,11,0,0,0,29
org.joda.time.field.TestOffsetDateTimeField,551,2054.39506988164,186,9,130,130,0,0,1540,1540,0,1,-0.03636363636363636,0,0.0,0,0,0.0,56,0,0,0,67
org.joda.time.field.TestPreciseDurationField,275,1358.95091304322,100,9,72,72,4,3,102,0,276,277,0.7122507122507122,6,0.35714285714285715,0,0,0.0,28,4,0,4,44
org.joda.time.field.TestBaseDateTimeField,616,2580.6262019521632,168,12,111,111,0,0,1596,1596,0,17,-0.025324675324675326,0,0.0,0,0,0.0,57,0,0,0,72
org.joda.time.field.TestFieldUtils,354,1178.9141317143003,33,3,23,23,0,0,45,45,0,1,-0.2222222222222222,0,0.0,0,0,0.0,10,0,0,0,18
org.joda.time.field.TestPreciseDurationDateTimeField,664,2594.153933127232,176,9,118,118,0,0,1653,1653,0,17,-0.02506265664160401,0,0.0,0,0,0.0,58,0,0,0,73
org.joda.time.field.TestPreciseDateTimeField,660,2533.4950364306483,181,9,127,127,0,0,1431,1431,0,1,-0.03773584905660377,0,0.0,0,0,0.0,54,0,0,0,64
org.joda.time.field.TestMillisDurationField,216,1017.616070355481,80,9,55,55,0,0,300,300,0,1,-0.08333333333333333,0,0.0,0,0,0.0,25,0,0,0,38
org.joda.time.field.TestUnsupportedDateTimeField,657,2507.522080586834,65,8,55,55,4,3,17,0,28,28,0.5277777777777778,1,0.5,0,0,0.0,10,4,0,4,29
org.joda.time.field.TestScaledDurationField,292,1501.856001484758,101,9,72,72,4,3,106,0,300,301,0.7222222222222222,6,0.35344827586206895,0,0,0.0,29,4,0,4,45
org.joda.time.format.TestDateTimeFormat,1180,3558.933217619818,511,13,440,440,10,4,1209,0,1276,1293,0.5064182194616977,6,0.1619718309859155,0,0,0.0,71,10,0,9,138
org.joda.time.format.TestPeriodFormat,671,3713.1567609354224,341,4,268,268,12,1,2395,2162,233,234,0.06338028169014084,6,0.07876712328767123,0,0,0.0,73,12,0,12,100
org.joda.time.format.TestISOPeriodFormat,210,1024.869451282307,57,9,45,45,14,5,55,44,11,12,0.01818181818181818,0,0.16666666666666666,0,0,0.0,12,14,0,13,15
org.joda.time.format.TestPeriodFormatter,232,1124.478115936839,66,14,51,51,14,6,39,0,66,67,0.5824175824175825,1,0.09523809523809523,0,0,0.0,15,14,0,13,27
org.joda.time.format.TestPeriodFormatterBuilder,1273,4349.376844796695,707,9,621,621,15,8,1835,15,1820,1821,0.48627450980392156,5,0.1062015503875969,0,0,0.0,86,15,0,14,113
org.joda.time.format.TestDateTimeFormatterBuilder,814,3150.608468539018,436,12,373,373,7,1,1879,1805,74,81,0.010047593865679535,9,0.07256235827664399,0,0,0.0,63,7,0,7,112
org.joda.time.format.TestDateTimeFormatter,1092,4467.859127492219,447,20,366,366,15,6,1309,0,1931,1932,0.5860759493670886,5,0.14156378600823044,0,0,0.0,81,15,0,14,137
org.joda.time.format.TestDateTimeParserBucket,294,1088.7220238537889,131,8,108,108,11,4,100,0,153,154,0.5714285714285714,1,0.2964426877470356,0,0,0.0,23,11,0,11,27
org.joda.time.format.TestISODateTimeFormat,597,1843.3622116814327,248,10,197,197,9,4,371,0,904,905,0.6979591836734694,4,0.29193899782135074,0,0,0.0,51,9,0,8,54
org.joda.time.convert.TestReadablePartialConverter,147,752.3789918135982,36,16,26,26,7,2,40,35,5,6,-0.08333333333333333,1,0.14285714285714285,0,0,0.0,10,7,0,7,19
org.joda.time.convert.TestCalendarConverter,185,796.415530846004,55,18,43,43,4,2,61,56,5,6,-0.09090909090909091,3,0.1875,0,0,0.0,12,4,0,4,26
org.joda.time.convert.TestReadableInstantConverter,147,672.4353515159323,44,15,30,30,6,2,85,79,6,13,0.0,2,0.09523809523809523,0,0,0.0,14,6,0,6,28
org.joda.time.convert.TestNullConverter,191,880.4723027140619,73,20,55,55,10,5,142,131,11,12,-0.03676470588235294,1,0.1,0,0,0.0,18,10,0,10,35
org.joda.time.convert.TestReadableDurationConverter,131,608.0766635327943,45,14,34,34,6,2,54,53,1,2,-0.17777777777777778,2,0.07575757575757576,0,0,0.0,11,6,0,6,20
org.joda.time.convert.TestStringConverter,583,2325.571599923583,288,17,241,241,14,3,1031,981,50,51,0.004830917874396135,3,0.05167173252279635,0,0,0.0,47,14,0,14,99
org.joda.time.convert.TestReadablePeriodConverter,114,517.143391684444,39,13,30,30,6,2,36,36,0,1,-0.25,1,0.037037037037037035,0,0,0.0,9,6,0,6,16
org.joda.time.convert.TestConverterSet,189,791.4492218108568,51,12,33,33,6,1,125,97,28,29,0.08823529411764706,2,0.32407407407407407,0,0,0.0,18,6,0,6,29
org.joda.time.convert.TestDateConverter,119,564.8974238161206,36,13,25,25,5,2,49,43,6,7,-0.06666666666666667,2,0.18181818181818182,0,0,0.0,11,5,0,5,20
org.joda.time.convert.TestReadableIntervalConverter,188,727.91790413511,87,17,69,69,6,2,153,153,0,9,-0.058823529411764705,3,0.018518518518518517,0,0,0.0,18,6,0,6,36
org.joda.time.convert.TestConverterManager,992,3355.4281843882245,486,34,346,346,7,3,9476,9222,254,578,0.045772077989782084,21,0.07448979591836735,0,0,0.0,140,7,0,7,271
org.joda.time.convert.TestLongConverter,121,549.9784495291104,40,11,28,28,6,2,61,56,5,6,-0.09090909090909091,2,0.1111111111111111,0,0,0.0,12,6,0,6,22
